date,region,channel,category,product,units,unit_price,discount_pct,revenue,unit_cost,cost,gross_profit
2024-06-01,APAC,In-store,Beauty & Wellness,Collagen Powder,3,34.99,0.0,104.97,14.0,42.0,62.97
2024-06-01,APAC,In-store,Electronics,Smart Speaker,5,49.99,0.15,212.46,34.99,174.95,37.51
2024-06-01,APAC,In-store,Media & Entertainment,Vinyl Record,5,27.99,0.0,139.95,16.79,83.95,56.0
2024-06-01,APAC,Online,Apparel,Wool Socks 3-pack,3,14.99,0.1,40.47,6.0,18.0,22.47
2024-06-01,APAC,Online,Home & Kitchen,Coffee Grinder,3,39.99,0.15,101.97,23.99,71.97,30.0
2024-06-01,APAC,Online,Home & Kitchen,Cookware Set,2,129.99,0.0,259.98,84.49,168.98,91.0
2024-06-01,EMEA,In-store,Beauty & Wellness,Vitamin C Serum,9,29.99,0.2,215.93,10.5,94.5,121.43
2024-06-01,EMEA,In-store,Electronics,USB-C Charger,36,19.99,0.0,719.64,10.99,395.64,324.0
2024-06-01,EMEA,Online,Beauty & Wellness,Electric Toothbrush,1,59.99,0.0,59.99,32.99,32.99,27.0
2024-06-01,EMEA,Online,Electronics,USB-C Charger,2,19.99,0.2,31.98,10.99,21.98,10.0
2024-06-01,EMEA,Online,Electronics,Wireless Earbuds,3,79.99,0.25,179.98,51.99,155.97,24.01
2024-06-01,EMEA,Online,Media & Entertainment,Board Game,2,34.99,0.25,52.48,19.24,38.48,14.0
2024-06-01,LATAM,In-store,Beauty & Wellness,Electric Toothbrush,7,59.99,0.0,419.93,32.99,230.93,189.0
2024-06-01,LATAM,In-store,Electronics,USB-C Charger,8,19.99,0.0,159.92,10.99,87.92,72.0
2024-06-01,LATAM,In-store,Media & Entertainment,Vinyl Record,9,27.99,0.25,188.93,16.79,151.11,37.82
2024-06-01,LATAM,Online,Electronics,Wireless Earbuds,6,79.99,0.0,479.94,51.99,311.94,168.0
2024-06-01,North America,In-store,Media & Entertainment,Board Game,8,34.99,0.0,279.92,19.24,153.92,126.0
2024-06-01,UK & Ireland,In-store,Beauty & Wellness,Electric Toothbrush,1,59.99,0.25,44.99,32.99,32.99,12.0
2024-06-02,APAC,Online,Apparel,Running Tee,3,24.99,0.0,74.97,11.25,33.75,41.22
2024-06-02,APAC,Online,Media & Entertainment,Board Game,2,34.99,0.0,69.98,19.24,38.48,31.5
2024-06-02,EMEA,In-store,Apparel,Wool Socks 3-pack,11,14.99,0.0,164.89,6.0,66.0,98.89
2024-06-02,EMEA,Online,Apparel,Running Tee,3,24.99,0.15,63.72,11.25,33.75,29.97
2024-06-02,EMEA,Online,Beauty & Wellness,Vitamin C Serum,1,29.99,0.0,29.99,10.5,10.5,19.49
2024-06-02,EMEA,Online,Home & Kitchen,Air Fryer,1,89.99,0.2,71.99,62.99,62.99,9.0
2024-06-02,LATAM,In-store,Apparel,Denim Jacket,12,69.99,0.2,671.9,34.99,419.88,252.02
2024-06-02,LATAM,Online,Beauty & Wellness,Collagen Powder,1,34.99,0.15,29.74,14.0,14.0,15.74
2024-06-02,LATAM,Online,Electronics,Smart Speaker,1,49.99,0.0,49.99,34.99,34.99,15.0
2024-06-02,LATAM,Online,Media & Entertainment,Board Game,2,34.99,0.15,59.48,19.24,38.48,21.0
2024-06-02,North America,Online,Apparel,Denim Jacket,2,69.99,0.0,139.98,34.99,69.98,70.0
2024-06-02,UK & Ireland,Online,Beauty & Wellness,Vitamin C Serum,5,29.99,0.0,149.95,10.5,52.5,97.45
2024-06-02,UK & Ireland,Online,Media & Entertainment,Blu-ray Box Set,3,39.99,0.0,119.97,29.99,89.97,30.0
2024-06-03,APAC,In-store,Apparel,Running Tee,11,24.99,0.0,274.89,11.25,123.75,151.14
2024-06-03,APAC,In-store,Beauty & Wellness,Electric Toothbrush,6,59.99,0.0,359.94,32.99,197.94,162.0
2024-06-03,APAC,Online,Electronics,USB-C Charger,6,19.99,0.0,119.94,10.99,65.94,54.0
2024-06-03,APAC,Online,Home & Kitchen,Air Fryer,2,89.99,0.0,179.98,62.99,125.98,54.0
2024-06-03,EMEA,In-store,Apparel,Denim Jacket,3,69.99,0.0,209.97,34.99,104.97,105.0
2024-06-03,EMEA,In-store,Beauty & Wellness,Electric Toothbrush,3,59.99,0.25,134.98,32.99,98.97,36.01
2024-06-03,EMEA,Online,Apparel,Denim Jacket,1,69.99,0.15,59.49,34.99,34.99,24.5
2024-06-03,EMEA,Online,Home & Kitchen,Coffee Grinder,1,39.99,0.0,39.99,23.99,23.99,16.0
2024-06-03,LATAM,In-store,Electronics,Smart Speaker,3,49.99,0.1,134.97,34.99,104.97,30.0
2024-06-03,LATAM,In-store,Media & Entertainment,Board Game,5,34.99,0.15,148.71,19.24,96.2,52.51
2024-06-03,LATAM,Online,Electronics,Wireless Earbuds,2,79.99,0.0,159.98,51.99,103.98,56.0
2024-06-03,LATAM,Online,Home & Kitchen,Cookware Set,1,129.99,0.1,116.99,84.49,84.49,32.5
2024-06-03,North America,In-store,Electronics,Smart Speaker,6,49.99,0.0,299.94,34.99,209.94,90.0
2024-06-03,North America,In-store,Electronics,Wireless Earbuds,13,79.99,0.2,831.9,51.99,675.87,156.03
2024-06-03,North America,In-store,Home & Kitchen,Coffee Grinder,3,39.99,0.0,119.97,23.99,71.97,48.0
2024-06-03,North America,In-store,Media & Entertainment,Blu-ray Box Set,9,39.99,0.0,359.91,29.99,269.91,90.0
2024-06-03,North America,Online,Apparel,Running Tee,4,24.99,0.2,79.97,11.25,45.0,34.97
2024-06-03,North America,Online,Home & Kitchen,Coffee Grinder,2,39.99,0.1,71.98,23.99,47.98,24.0
2024-06-03,UK & Ireland,In-store,Apparel,Denim Jacket,6,69.99,0.0,419.94,34.99,209.94,210.0
2024-06-03,UK & Ireland,In-store,Home & Kitchen,Air Fryer,3,89.99,0.25,202.48,62.99,188.97,13.51
2024-06-04,APAC,In-store,Apparel,Wool Socks 3-pack,2,14.99,0.0,29.98,6.0,12.0,17.98
2024-06-04,EMEA,In-store,Apparel,Denim Jacket,2,69.99,0.0,139.98,34.99,69.98,70.0
2024-06-04,EMEA,In-store,Apparel,Running Tee,7,24.99,0.0,174.93,11.25,78.75,96.18
2024-06-04,EMEA,In-store,Beauty & Wellness,Electric Toothbrush,3,59.99,0.0,179.97,32.99,98.97,81.0
2024-06-04,EMEA,Online,Media & Entertainment,Blu-ray Box Set,4,39.99,0.0,159.96,29.99,119.96,40.0
2024-06-04,LATAM,In-store,Electronics,Smart Speaker,7,49.99,0.0,349.93,34.99,244.93,105.0
2024-06-04,North America,In-store,Home & Kitchen,Coffee Grinder,4,39.99,0.0,159.96,23.99,95.96,64.0
2024-06-04,North America,Online,Apparel,Wool Socks 3-pack,3,14.99,0.0,44.97,6.0,18.0,26.97
2024-06-04,UK & Ireland,In-store,Media & Entertainment,Vinyl Record,5,27.99,0.15,118.96,16.79,83.95,35.01
2024-06-04,UK & Ireland,Online,Apparel,Running Tee,5,24.99,0.25,93.71,11.25,56.25,37.46
2024-06-04,UK & Ireland,Online,Electronics,Wireless Earbuds,3,79.99,0.0,239.97,51.99,155.97,84.0
2024-06-05,APAC,In-store,Beauty & Wellness,Collagen Powder,2,34.99,0.0,69.98,14.0,28.0,41.98
2024-06-05,EMEA,In-store,Apparel,Running Tee,11,24.99,0.0,274.89,11.25,123.75,151.14
2024-06-05,LATAM,In-store,Home & Kitchen,Cookware Set,2,129.99,0.25,194.99,84.49,168.98,26.01
